order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,4,1,104.67,0.15
2,1,20,6,378.73,0.1
3,1,26,7,957.73,0.2
4,2,2,5,153.91,0.0
5,3,27,5,2419.0,0.05
6,3,13,2,217.91,0.0
7,3,5,2,248.91,0.15
8,4,14,6,280.15,0.0
9,4,1,3,53.23,0.1
10,4,10,10,138.07,0.0
11,5,4,5,104.31,0.0
12,6,6,10,187.55,0.2
13,7,8,1,333.4,0.2
14,8,25,9,172.84,0.2
15,8,18,9,766.59,0.1
16,8,30,5,4599.52,0.05
17,8,28,1,1442.61,0.05
18,8,3,2,411.6,0.0
19,9,5,2,228.8,0.1
20,10,4,8,89.94,0.2
21,11,13,5,185.42,0.1
22,11,18,4,732.21,0.0
23,11,4,3,101.94,0.1
24,12,21,1,197.82,0.15
25,13,6,9,188.6,0.05
26,13,24,1,237.31,0.0
27,14,26,8,1008.5,0.0
28,14,24,7,215.76,0.15
29,14,25,7,149.22,0.1
30,14,27,5,2421.17,0.05
31,14,7,10,293.71,0.1
32,15,9,2,290.55,0.0
33,15,8,10,348.84,0.0
34,15,20,7,406.24,0.15
35,16,23,3,477.24,0.1
36,16,5,2,272.27,0.0
37,16,19,3,259.51,0.0
38,17,24,2,237.43,0.0
39,17,2,4,142.34,0.0
40,18,1,1,48.15,0.0
41,18,21,4,196.89,0.0
42,18,7,2,321.05,0.0
43,18,23,7,438.11,0.1
44,18,4,5,97.88,0.0
45,19,7,6,280.34,0.15
46,19,13,4,198.6,0.0
47,20,2,8,138.83,0.2
48,20,9,1,292.86,0.1
49,20,1,5,46.1,0.0
50,20,14,5,277.51,0.0
51,21,14,1,297.4,0.2
52,21,25,9,145.18,0.05
53,22,10,8,121.28,0.2
54,22,21,5,212.51,0.05
55,22,8,5,325.3,0.0
56,23,29,4,4115.15,0.05
57,23,5,4,273.23,0.1
58,23,1,9,50.39,0.0
59,23,25,2,151.61,0.0
60,24,9,9,295.71,0.15
61,24,23,7,405.92,0.1
62,24,4,2,93.88,0.0
63,24,28,5,1591.85,0.2
64,24,22,9,373.84,0.1
65,25,30,1,4648.17,0.0
66,25,6,6,209.69,0.2
67,25,21,9,195.81,0.0
68,25,16,1,148.43,0.0
69,25,17,2,731.52,0.15
70,26,9,4,286.19,0.15
71,26,23,10,454.86,0.0
72,26,26,2,975.01,0.1
